id,name,collection,user,organization,device_id,app_version,soft_version,firmware_version,model_version,sample_type,sample_start,sample_stop,sample_number,add_time,temperature,attributes__名称(-),attributes__淀粉(%),attributes__水分(%),attributes__酸度(%),attributes__残糖(%),attributes__出窖糟(-),1553,1559,1565,1571,1577,1583,1589,1595,1601,1607,1613,1619,1625,1631,1637,1643,1650,1656,1662,1668,1674,1680,1686,1692,1698,1704,1710,1716,1722,1728,1734,1740,1746,1753,1759,1765,1771,1777,1783,1789,1795,1801,1807,1813,1819,1825,1831,1837,1843,1850
31156,2-8组5-28出下,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:39:28.313707,29.6,None,14.0,61.7,4.87,0.64,None,0.9119806677165957,0.9119669427580872,0.9119396264761479,0.9118958521358812,0.9118510472913943,0.9118085875378107,0.9117752657510082,0.9117429188549667,0.91172859357067,0.9117135062664716,0.911715153570541,0.9117250945739729,0.9117462600313441,0.9117714539593649,0.9117962751034095,0.9118333438061457,0.9118681603266937,0.9119048112303167,0.9119277494653508,0.9119550394864064,0.9119786527717173,0.912008178501063,0.9120417778059217,0.9120920809181059,0.9121564870775797,0.9122197648837901,0.9122879803011321,0.9123574779470804,0.9124456857809642,0.9125333417368222,0.9126230757444017,0.9127104158943797,0.9128137735871369,0.9129376211317621,0.9130582222945289,0.9131770298074473,0.9132834571723766,0.9134041462430253,0.9135191689328191,0.913630129481998,0.9137234529182738,0.9138163636776104,0.9138957407890704,0.9139697219058,0.9140313831938462,0.9140896101999602,0.9141276391097746,0.9141390035469028,0.9141290328283895,0.9141205568004469
31155,3-12组16-5-6出中,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:37:34.971864,29.5,None,13.4,62.0,5.02,0.77,None,0.9158345887786057,0.9158217335621375,0.9157966106089217,0.9157554984625734,0.9157073458436504,0.915664822041128,0.9156285684545367,0.9155995357448059,0.9155735988251579,0.9155498393624008,0.9155395484716573,0.9155476793571302,0.9155700007356214,0.9155936841618818,0.915625489441168,0.9156596334466316,0.9156911257667664,0.915717342318897,0.9157430921939227,0.9157676267439037,0.9157928369140207,0.9158134377124069,0.9158501362099993,0.9158947694581507,0.9159561955536033,0.9160209243116988,0.9160918738956013,0.9161642360284188,0.9162471247867209,0.9163393068246937,0.9164329520859191,0.9165326633049843,0.9166360606375227,0.9167569430819551,0.916863654214039,0.9169813441576778,0.9170862274277076,0.9172091283708725,0.9173189914458877,0.9174327614984692,0.91752890449787,0.9176213857941248,0.9176999756770967,0.9177762053785066,0.9178441745311722,0.9179075724503216,0.9179517612660456,0.9179652062077552,0.9179582390388947,0.9179554684932777
31154,1-28-2-16出中,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:35:33.846896,29.5,None,14.7,60.2,4.87,0.96,None,0.9056400976252985,0.9056183411811043,0.9055996926705706,0.9055466919591333,0.905501104965396,0.9054458136003483,0.9054076455137752,0.9053633822959992,0.9053359058577733,0.9053072537555145,0.9052943853079075,0.905298048318237,0.9053259216080358,0.9053583297417889,0.9053902019400071,0.905424076866824,0.9054614063060051,0.905494473375802,0.905522205698049,0.9055405723982631,0.9055661781188771,0.9055903575797414,0.9056390277735799,0.9056968069435724,0.905761645618893,0.9058314685959937,0.9059065908900119,0.9059859935410443,0.9060702373973518,0.906156184242929,0.9062539203814226,0.9063486929378833,0.9064603314807049,0.9065865050967518,0.9067182583463025,0.9068380083862159,0.9069516932901854,0.907058858151216,0.9071742545093053,0.9072834987830061,0.9073973374729986,0.90748891165806,0.9075778128389748,0.9076534003079171,0.9077279585901052,0.9077935524117857,0.9078308598844562,0.9078419377836257,0.9078126090927348,0.9078019360572436
31153,10组2-6-19出上,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:33:01.438953,29.6,None,13.1,61.6,3.94,0.32,None,0.9062595772174462,0.906244690666206,0.9062204085866654,0.9061750105583984,0.9061182483235228,0.9060672564172061,0.9060208525965768,0.9059834455338921,0.9059470186049388,0.9059192038109392,0.9059079626729085,0.9059130639947934,0.9059355376110639,0.9059624087204019,0.9060002062423996,0.9060366027397425,0.9060735052626602,0.9061009642086579,0.9061164505489855,0.906134497627217,0.9061619343412305,0.9062022179509431,0.906247143529355,0.9062984142287749,0.9063594695447921,0.9064321775019544,0.9065031825808811,0.906585408726288,0.9066675544058193,0.9067623688801117,0.9068620453518406,0.9069588292957994,0.907073555609692,0.9071914046492197,0.9073268054339854,0.9074448580067,0.907556154934895,0.907664075588823,0.9077798554820345,0.9078991188376819,0.908003327078773,0.9080986505355748,0.9081763295669459,0.9082489923381697,0.9083176346229438,0.9083785373670608,0.9084161308454536,0.9084160613789604,0.9084044545031384,0.9083889169502238
31152,1-2-2-9出中,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:30:53.250296,29.7,None,14.3,61.4,4.33,0.77,None,0.9087050548863924,0.908680181168911,0.9086531568624873,0.9085980255000923,0.9085495982356508,0.9084997683853784,0.908463640118105,0.908428122807694,0.9084086946295377,0.9083865290637176,0.908384499607588,0.9083935205989214,0.9084161311083181,0.9084373618161485,0.9084655742088588,0.9085013942137108,0.9085382243217794,0.9085691467424061,0.9085900943295006,0.9086184542546569,0.9086396690537916,0.9086714588574387,0.9086998899636063,0.9087516098381837,0.9088123582862915,0.9088904020059465,0.9089669535062662,0.9090455239229401,0.9091244670053458,0.9092097370474713,0.9093034684841881,0.9094006781366403,0.9095098090907952,0.9096301358319865,0.9097463703694266,0.9098676764086842,0.9099825454509898,0.9101069670802479,0.9102147088579933,0.9103195400601903,0.9104172129608411,0.9105145973786638,0.9106042889395166,0.9106819810092188,0.9107470217434435,0.9108054126327102,0.9108384814834274,0.9108536122679551,0.9108406448249358,0.9108307151785413
31151,16-3-4-5出中,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:28:59.896906,29.7,None,13.6,61.6,5.01,0.63,None,0.9140309230301135,0.9140149223624432,0.9139918752038958,0.9139527110440051,0.9139072987843658,0.91387057152532,0.913836063628098,0.9138090223815453,0.9137830572859985,0.9137619483709865,0.9137569906517164,0.9137688725328854,0.9137987366169668,0.9138217697269702,0.9138601772076208,0.913889056467595,0.9139309822905531,0.9139472445295149,0.913969579257325,0.913988613197494,0.9140191842706435,0.914046312360654,0.914079429311226,0.9141285586199945,0.9141891632640478,0.914261796833574,0.9143320465369051,0.914410723992106,0.9144910459826577,0.9145766644842224,0.9146627928885008,0.914757338543277,0.9148582597242652,0.9149777712843269,0.9150987905698467,0.9152210926481161,0.9153312423614748,0.9154328061265917,0.9155392125936523,0.9156520005157975,0.9157562629530221,0.9158519304552691,0.9159313085438623,0.9160070125656709,0.9160670146138434,0.9161243744284108,0.9161620852781871,0.91618465210627,0.9161803008039425,0.9161696309788521
31150,40-8-11-1出下,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:26:49.940335,29.8,None,14.6,60.3,5.29,0.93,None,0.9103382560327756,0.9103109427615135,0.9102908793894167,0.9102468915067824,0.9102032324373063,0.9101514778245732,0.9101100093413608,0.9100738171734285,0.9100633409780896,0.9100496787127574,0.9100524665746439,0.9100611982975886,0.9100803788805985,0.910108507753892,0.9101426955077756,0.9101868641707487,0.9102233069579898,0.910252368461644,0.9102792007243905,0.9103039880006321,0.910328726781146,0.910349583163952,0.9103776794077381,0.9104250314752541,0.9104886891548507,0.910566272876194,0.9106438839006624,0.9107258770218833,0.9108081577813836,0.9108880468527706,0.9109765015300197,0.9110677469593467,0.9111722038304652,0.9112940628709151,0.9114234208274417,0.9115502235614176,0.9116576831414783,0.911771434973206,0.9118855736248057,0.9119901156022272,0.9120897038552623,0.9121794353156095,0.9122761777586645,0.9123579342231283,0.9124307699130384,0.9124833281468749,0.9125118947545147,0.9125165710638063,0.9125103416234777,0.9125094468894474
31149,18组3-5出中,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:25:00.821464,29.8,None,14.2,60.5,4.78,0.8,None,0.9040488831137186,0.9040301510120886,0.9040045425934049,0.9039570406557497,0.9039066863247049,0.9038652060484542,0.9038334895734264,0.903802048929097,0.9037739208749895,0.9037554800592276,0.9037504684254543,0.9037598241737643,0.9037726370840358,0.9038025583960975,0.9038405100341824,0.9038838623501791,0.9039210682043906,0.9039496182747646,0.9039721868798247,0.9039905717843971,0.9040188676985207,0.9040513433886344,0.9040897672140742,0.9041419744568124,0.9042022625832041,0.9042814165128956,0.9043573016235011,0.9044396279673663,0.9045134197675264,0.9046015915236446,0.9047031640735738,0.9048140389469252,0.9049282450249633,0.9050512270705828,0.9051794067703397,0.9053049730730971,0.9054195755123138,0.9055382503702875,0.9056535836109096,0.9057757923488118,0.9058831300843354,0.905989906458717,0.906074789813275,0.9061557929620138,0.9062178420024906,0.9062798564323326,0.9063167580745931,0.9063268655300066,0.9063073955261605,0.9062928555774881
31148,1-4组1-4-14出中,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:23:03.963853,29.8,None,13.4,61.3,3.98,0.36,None,0.9034919784165271,0.9034793154921709,0.9034558673333406,0.9034125592309181,0.9033579555744812,0.9033147067934632,0.9032694435615278,0.9032294336972393,0.903191597979577,0.9031681049085357,0.9031653736670846,0.9031730832229132,0.9031929251319597,0.90321372734993,0.903246992983379,0.9032813637838852,0.903317658303726,0.9033400135981335,0.9033669678263732,0.903388817068103,0.9034212856250587,0.9034532682729499,0.9034901938225501,0.9035492731978201,0.9036146699908317,0.9036959996021111,0.9037703803353525,0.9038472513921194,0.9039349608312767,0.9040256137280135,0.9041312197244697,0.9042339115487253,0.9043499360099212,0.9044722878914426,0.9045995198860579,0.9047206305023486,0.9048386501556933,0.9049633401811824,0.9050873060014915,0.9052027968430292,0.9053033632692068,0.9053978285862108,0.9054852457984711,0.9055618579683917,0.9056211441716074,0.9056749044780633,0.9057061958306765,0.9057184188495228,0.9057006593548476,0.9056878763351299
31147,1-8组4-17出中,505车间出窖糟集合,WLYJSZX,"Wuliangye Group Co., Ltd",200007,1.0,1.0.0,0.0.1,a,custom,1553,1850,50,2018-06-01 15:20:52.588328,29.9,None,14.6,58.8,4.12,0.51,None,0.9045714172843738,0.9045529487344236,0.9045291492560674,0.9044844109082901,0.9044357255865904,0.9043913128610356,0.9043549645487476,0.9043238444687683,0.9042982269443935,0.9042701817641372,0.9042593664925498,0.9042603177576584,0.9042813288473307,0.9043093852549854,0.9043489981359958,0.9043920387791244,0.9044300835161101,0.9044663126320446,0.9044914538979828,0.9045146596976391,0.904531670046288,0.9045621352692492,0.9045995311757552,0.9046617399945335,0.9047290754500908,0.9048137066729948,0.9048933206683639,0.9049784344147603,0.9050535274870279,0.9051428671690405,0.9052335656956645,0.9053460912517036,0.9054617443045087,0.9055941569180598,0.9057179153063383,0.9058454748416714,0.9059613434043223,0.9060853413198489,0.9062041275049937,0.9063256052285693,0.9064351341545335,0.9065343590175747,0.9066307805593434,0.9067158079318796,0.9067837175900227,0.9068358523618018,0.9068731929142142,0.9068920209640695,0.9068897476193558,0.9068887408995057
